"exp1_trt","outcome1","compl1","female","age","income","religion","Hindu","imp_rel","education","ideol","empl_status","employed","marital","married","job_worry","year"
-1,NA,0,1,29,3,31,1,3,1,5,6,0,1,1,NA,2001
-1,NA,0,1,20,3,31,1,1,3,5,6,0,1,1,NA,2001
3,NA,0,0,42,3,49,0,2,3,1,3,1,1,1,NA,2001
1,NA,1,0,46,3,31,1,1,3,3,1,1,1,1,NA,2001
1,NA,1,0,30,4,31,1,1,3,10,1,1,1,1,NA,2001
1,NA,1,0,36,5,31,1,1,6,10,1,1,1,1,NA,2001
1,NA,1,1,47,5,31,1,2,9,10,8,0,3,0,NA,2001
1,NA,1,0,31,5,31,1,4,9,-1,3,1,5,0,NA,2001
1,NA,1,0,62,5,31,1,4,9,5,5,0,5,0,NA,2001
1,NA,1,0,68,5,31,1,4,8,1,5,0,1,1,NA,2001
1,NA,1,0,41,4,49,0,1,3,1,1,1,1,1,NA,2001
-1,NA,0,0,23,3,49,0,2,3,-1,7,0,1,1,NA,2001
1,NA,1,0,75,3,49,0,1,2,1,5,0,1,1,NA,2001
-1,NA,0,1,32,2,31,1,4,1,1,6,0,1,1,NA,2001
-1,NA,0,1,25,3,31,1,4,3,1,6,0,1,1,NA,2001
1,NA,1,0,55,3,31,1,1,2,-1,3,1,5,0,NA,2001
3,NA,0,0,48,2,49,0,1,6,1,3,1,1,1,NA,2001
-1,NA,0,0,38,3,31,1,1,3,1,1,1,1,1,NA,2001
4,NA,0,0,31,3,49,0,4,7,3,1,1,1,1,NA,2001
1,NA,1,0,65,4,31,1,1,6,-1,5,0,1,1,NA,2001
1,NA,1,0,52,2,31,1,2,2,5,1,1,1,1,NA,2001
3,NA,0,0,68,3,64,0,1,6,1,3,1,1,1,NA,2001
1,NA,1,0,27,2,31,1,4,8,1,2,1,1,1,NA,2001
1,NA,1,1,45,5,31,1,1,6,10,6,0,1,1,NA,2001
1,NA,1,0,32,4,31,1,2,8,1,3,1,1,1,NA,2001
-1,NA,0,1,40,3,31,1,1,1,1,6,0,1,1,NA,2001
1,NA,1,0,36,3,49,0,3,3,-1,1,1,1,1,NA,2001
-1,NA,0,1,35,2,31,1,1,1,1,6,0,1,1,NA,2001
1,NA,1,0,32,6,31,1,4,9,1,1,1,5,0,NA,2001
1,NA,1,1,24,4,31,1,1,9,-1,6,0,1,1,NA,2001
-1,NA,0,1,30,2,31,1,1,2,-1,1,1,4,0,NA,2001
-1,NA,0,1,49,3,49,0,1,1,-1,6,0,1,1,NA,2001
-1,NA,0,1,49,3,49,0,1,1,5,2,1,1,1,NA,2001
1,NA,1,0,29,3,49,0,4,3,-1,1,1,1,1,NA,2001
1,NA,1,0,40,3,49,0,4,6,1,1,1,1,1,NA,2001
-1,NA,0,1,79,3,49,0,1,1,1,6,0,1,1,NA,2001
1,NA,1,0,51,3,49,0,1,2,3,1,1,1,1,NA,2001
-1,NA,0,1,49,3,49,0,2,1,1,2,1,1,1,NA,2001
4,NA,0,0,55,5,31,1,3,9,1,1,1,1,1,NA,2001
1,NA,1,0,25,3,31,1,4,9,5,7,0,5,0,NA,2001
-1,NA,0,1,72,4,31,1,1,1,5,6,0,1,1,NA,2001
-1,NA,0,1,70,4,31,1,3,1,-1,6,0,1,1,NA,2001
-1,NA,0,1,57,5,49,0,1,1,10,6,0,1,1,NA,2001
1,NA,1,1,44,4,31,1,4,3,5,6,0,1,1,NA,2001
-1,NA,0,1,66,3,31,1,1,1,-1,6,0,1,1,NA,2001
1,NA,1,0,46,4,31,1,4,8,10,1,1,1,1,NA,2001
1,NA,1,1,26,5,31,1,1,8,-1,6,0,1,1,NA,2001
1,NA,1,0,47,5,31,1,1,9,10,3,1,1,1,NA,2001
1,NA,1,0,26,4,31,1,3,9,5,3,1,5,0,NA,2001
-1,NA,0,1,77,5,31,1,1,1,1,6,0,1,1,NA,2001
1,NA,1,1,25,5,31,1,4,8,8,7,0,5,0,NA,2001
1,NA,1,0,24,5,31,1,4,9,10,3,1,5,0,NA,2001
3,NA,0,0,44,5,31,1,1,7,5,3,1,1,1,NA,2001
-1,NA,0,1,67,5,49,0,1,1,1,6,0,1,1,NA,2001
1,NA,1,1,31,4,49,0,1,3,5,2,1,1,1,NA,2001
-1,NA,0,1,57,5,49,0,1,1,10,6,0,1,1,NA,2001
1,NA,1,1,41,5,31,1,1,6,10,6,0,1,1,NA,2001
4,NA,0,0,46,6,31,1,1,9,1,1,1,1,1,NA,2001
4,NA,0,1,25,6,53,0,2,9,5,7,0,6,0,NA,2001
1,NA,1,1,44,-1,31,1,2,9,10,6,0,1,1,NA,2001
2,NA,1,0,18,6,38,0,2,8,-1,7,0,6,0,NA,2001
1,NA,1,0,35,3,31,1,1,7,1,1,1,6,0,NA,2001
-1,NA,0,1,43,3,49,0,2,1,-1,2,1,1,1,NA,2001
1,NA,1,0,46,7,31,1,1,9,8,3,1,1,1,NA,2001
2,NA,1,1,21,6,38,0,2,9,-1,7,0,6,0,NA,2001
-1,NA,0,1,32,6,31,1,1,9,8,1,1,1,1,NA,2001
1,NA,1,0,20,7,31,1,2,8,-1,7,0,6,0,NA,2001
2,NA,1,0,21,6,31,1,1,9,5,7,0,6,0,NA,2001
2,NA,1,1,39,-1,31,1,1,8,-1,7,0,1,1,NA,2001
-1,NA,0,0,22,7,0,0,3,9,-1,2,1,6,0,NA,2001
2,NA,1,1,18,6,31,1,2,8,-1,7,0,6,0,NA,2001
1,NA,1,1,48,6,31,1,1,9,-1,7,0,1,1,NA,2001
2,NA,1,1,24,5,31,1,1,2,5,7,0,6,0,NA,2001
2,NA,1,0,25,4,0,0,2,9,5,7,0,6,0,NA,2001
1,NA,1,0,26,9,31,1,1,-1,-1,1,1,6,0,NA,2001
1,NA,1,0,49,6,71,0,1,6,10,1,1,1,1,NA,2001
3,NA,0,0,65,7,71,0,1,9,5,5,0,1,1,NA,2001
4,NA,0,1,35,5,71,0,2,9,-1,7,0,1,1,NA,2001
4,NA,0,0,49,6,71,0,1,9,-1,3,1,6,0,NA,2001
4,NA,0,0,65,7,71,0,1,7,8,5,0,1,1,NA,2001
3,NA,0,1,38,8,71,0,2,9,-1,1,1,1,1,NA,2001
3,NA,0,0,71,6,71,0,1,9,5,5,0,1,1,NA,2001
1,NA,1,1,18,7,71,0,2,7,-1,7,0,6,0,NA,2001
3,NA,0,0,40,5,31,1,3,9,1,3,1,1,1,NA,2001
1,NA,1,0,24,9,-2,0,2,9,-1,7,0,6,0,NA,2001
2,NA,1,1,30,7,31,1,3,9,-1,1,1,1,1,NA,2001
2,NA,1,1,25,6,31,1,3,9,-1,7,0,6,0,NA,2001
1,NA,1,1,25,6,31,1,1,9,5,7,0,6,0,NA,2001
1,NA,1,1,20,3,71,0,1,8,5,2,1,6,0,NA,2001
2,NA,1,0,33,6,31,1,4,9,-1,3,1,6,0,NA,2001
2,NA,1,1,41,7,71,0,1,9,-1,7,0,1,1,NA,2001
4,NA,0,1,55,8,31,1,4,7,-1,7,0,1,1,NA,2001
2,NA,1,0,21,6,71,0,2,9,-1,7,0,1,1,NA,2001
1,NA,1,0,68,6,0,0,4,7,-1,5,0,1,1,NA,2001
-1,NA,0,0,50,6,71,0,1,7,10,5,0,1,1,NA,2001
1,NA,1,0,46,6,31,1,2,6,-1,1,1,1,1,NA,2001
2,NA,1,0,22,4,0,0,2,9,5,7,0,6,0,NA,2001
1,NA,1,0,30,9,31,1,1,-1,-1,1,1,6,0,NA,2001
4,NA,0,1,22,6,53,0,2,9,5,7,0,6,0,NA,2001
2,NA,1,0,28,4,6,1,4,9,3,-2,1,6,0,NA,2006
1,NA,1,0,32,5,-2,0,1,9,5,2,1,1,1,NA,2006
4,NA,0,1,26,3,6,1,3,9,5,5,0,1,1,NA,2006
3,NA,0,0,28,4,-2,0,4,8,5,1,1,1,1,NA,2006
2,NA,1,1,26,3,6,1,3,7,7,-2,1,1,1,NA,2006
2,NA,1,1,20,6,6,1,3,8,5,-2,1,6,0,NA,2006
3,NA,0,0,20,4,5,0,2,8,5,-2,1,6,0,NA,2006
4,NA,0,1,20,4,6,1,4,7,1,-2,1,6,0,NA,2006
3,NA,0,0,23,6,9,0,1,9,5,7,0,6,0,NA,2006
4,NA,0,1,38,3,5,0,1,8,7,5,0,1,1,NA,2006
2,NA,1,0,46,6,9,0,4,9,5,1,1,1,1,NA,2006
3,NA,0,0,18,4,-2,0,1,6,5,-2,1,6,0,NA,2006
4,NA,0,0,54,5,6,1,2,8,3,7,0,1,1,NA,2006
3,NA,0,0,30,3,6,1,4,8,3,3,1,1,1,NA,2006
2,NA,1,0,23,4,6,1,4,9,-1,-2,1,6,0,NA,2006
3,NA,0,0,19,3,-2,0,4,8,-1,-2,1,6,0,NA,2006
2,NA,1,0,26,5,6,1,3,9,7,3,1,6,0,NA,2006
2,NA,1,0,32,5,6,1,3,9,5,1,1,1,1,NA,2006
2,NA,1,1,54,4,6,1,4,8,5,5,0,1,1,NA,2006
3,NA,0,1,22,7,6,1,3,9,5,-2,1,6,0,NA,2006
3,NA,0,1,36,3,6,1,3,7,-1,5,0,1,1,NA,2006
2,NA,1,1,37,3,6,1,4,7,5,5,0,1,1,NA,2006
2,NA,1,1,29,5,6,1,4,9,5,5,0,1,1,NA,2006
3,NA,0,1,33,4,6,1,4,8,5,5,0,1,1,NA,2006
3,NA,0,1,27,6,6,1,4,9,5,7,0,6,0,NA,2006
2,NA,1,1,21,4,-2,0,4,9,-1,7,0,6,0,NA,2006
3,NA,0,1,20,4,6,1,2,8,3,-2,1,6,0,NA,2006
3,NA,0,0,24,6,6,1,1,9,1,-2,1,6,0,NA,2006
2,NA,1,0,23,3,6,1,2,6,10,3,1,6,0,NA,2006
3,NA,0,0,31,2,6,1,2,8,5,1,1,1,1,NA,2006
3,NA,0,0,47,2,6,1,2,3,5,1,1,1,1,NA,2006
3,NA,0,1,22,5,6,1,3,9,5,-2,1,6,0,NA,2006
2,NA,1,0,37,4,6,1,1,9,10,1,1,1,1,NA,2006
3,NA,0,0,39,5,6,1,3,9,1,1,1,1,1,NA,2006
3,NA,0,1,34,8,6,1,1,9,7,5,0,1,1,NA,2006
3,NA,0,0,46,4,6,1,3,8,5,1,1,1,1,NA,2006
2,NA,1,0,26,4,5,0,1,8,7,7,0,6,0,NA,2006
3,NA,0,0,36,5,6,1,3,9,7,1,1,1,1,NA,2006
3,NA,0,1,19,5,6,1,3,8,7,-2,1,6,0,NA,2006
2,NA,1,1,26,5,6,1,1,9,5,2,1,2,0,NA,2006
2,NA,1,1,40,6,6,1,1,8,10,5,0,1,1,NA,2006
3,NA,0,1,43,5,6,1,3,7,5,5,0,1,1,NA,2006
2,NA,1,1,32,6,6,1,1,8,5,5,0,1,1,NA,2006
3,NA,0,0,35,6,6,1,3,9,5,1,1,1,1,NA,2006
3,NA,0,0,20,7,6,1,3,8,7,-2,1,6,0,NA,2006
3,NA,0,0,23,7,6,1,2,9,7,-2,1,6,0,NA,2006
1,NA,1,0,52,10,6,1,1,9,7,1,1,1,1,NA,2006
3,NA,0,1,26,8,6,1,3,9,5,2,1,1,1,NA,2006
3,NA,0,1,44,1,6,1,2,6,3,5,0,1,1,NA,2006
3,NA,0,1,48,7,6,1,2,9,7,1,1,1,1,NA,2006
4,NA,0,0,58,9,6,1,2,9,1,1,1,1,1,NA,2006
4,NA,0,0,20,8,6,1,3,9,5,-2,1,6,0,NA,2006
1,NA,1,0,26,10,6,1,2,3,7,-2,1,1,1,NA,2006
4,NA,0,0,65,1,6,1,1,2,-1,-2,1,1,1,NA,2006
3,NA,0,0,40,5,6,1,1,7,5,2,1,1,1,NA,2006
-1,NA,0,1,23,4,6,1,1,3,-1,-2,1,1,1,NA,2006
3,NA,0,0,43,5,6,1,1,9,-1,2,1,1,1,NA,2006
-1,NA,0,1,75,6,6,1,-1,1,-1,-2,1,1,1,NA,2006
4,NA,0,0,34,5,6,1,2,8,-1,2,1,1,1,NA,2006
1,NA,1,1,35,6,6,1,1,8,7,5,0,1,1,NA,2006
3,NA,0,1,50,7,6,1,1,1,-1,-2,1,1,1,NA,2006
-1,NA,0,1,42,1,6,1,2,1,7,5,0,1,1,NA,2006
-1,NA,0,0,55,3,6,1,2,1,-1,1,1,1,1,NA,2006
2,NA,1,0,34,1,6,1,1,9,-1,2,1,1,1,NA,2006
-1,NA,0,0,41,4,6,1,2,2,-1,1,1,1,1,NA,2006
2,NA,1,1,30,3,6,1,1,3,7,5,0,1,1,NA,2006
2,NA,1,0,50,5,6,1,1,6,-1,1,1,1,1,NA,2006
1,NA,1,1,45,5,6,1,2,6,-1,1,1,1,1,NA,2006
2,NA,1,0,23,5,6,1,3,7,-1,1,1,6,0,NA,2006
1,NA,1,0,47,5,6,1,2,6,-1,1,1,1,1,NA,2006
2,NA,1,1,70,1,6,1,2,-2,-1,5,0,1,1,NA,2006
1,NA,1,0,40,3,5,0,1,9,10,1,1,1,1,NA,2006
4,NA,0,1,30,3,6,1,4,6,-1,1,1,1,1,NA,2006
-1,NA,0,0,31,5,6,1,-1,6,-1,5,0,1,1,NA,2006
-1,NA,0,0,28,2,6,1,3,1,-1,-2,1,1,1,NA,2006
3,NA,0,0,40,4,6,1,2,2,-1,-2,1,1,1,NA,2006
4,NA,0,0,35,5,6,1,-1,7,5,3,1,1,1,NA,2006
2,NA,1,0,44,5,6,1,2,7,-1,1,1,1,1,NA,2006
-1,NA,0,1,75,5,6,1,-1,1,-1,5,0,5,0,NA,2006
2,NA,1,1,50,6,6,1,2,6,-1,5,0,1,1,NA,2006
-1,NA,0,1,60,2,6,1,-1,-2,-1,5,0,5,0,NA,2006
3,NA,0,1,30,4,6,1,-1,2,-1,1,1,1,1,NA,2006
2,NA,1,0,70,3,6,1,3,2,-1,3,1,1,1,NA,2006
-1,NA,0,1,23,3,6,1,2,2,-1,2,1,1,1,NA,2006
3,NA,0,0,50,2,6,1,4,-2,-1,1,1,1,1,NA,2006
-1,NA,0,0,40,1,6,1,2,-2,-1,1,1,1,1,NA,2006
-1,NA,0,1,44,2,6,1,-1,-2,-1,5,0,5,0,NA,2006
-1,NA,0,0,43,3,6,1,3,-2,-1,-2,1,1,1,NA,2006
2,NA,1,0,23,5,6,1,1,9,10,2,1,1,1,NA,2006
-1,NA,0,1,60,3,6,1,2,-2,-1,5,0,1,1,NA,2006
-1,NA,0,1,33,3,6,1,-1,-2,-1,5,0,1,1,NA,2006
-1,NA,0,1,27,4,4,0,4,6,-1,2,1,1,1,NA,2006
-1,NA,0,1,35,7,5,0,2,-2,-1,5,0,1,1,NA,2006
-1,NA,0,1,35,3,6,1,2,2,-1,5,0,1,1,NA,2006
2,NA,1,0,45,3,6,1,4,3,-1,1,1,1,1,NA,2006
2,NA,1,0,21,3,6,1,2,3,-1,1,1,1,1,NA,2006
1,NA,1,0,35,3,6,1,1,7,-1,7,0,1,1,NA,2006
2,NA,1,0,53,7,6,1,1,3,-1,3,1,1,1,NA,2006
1,NA,1,0,40,4,6,1,1,7,-1,2,1,1,1,NA,2006
-1,NA,0,1,30,6,6,1,2,9,5,5,0,1,1,NA,2006
-1,NA,0,0,40,9,6,1,2,7,5,3,1,1,1,NA,2006
2,NA,1,0,45,7,6,1,1,7,5,3,1,1,1,NA,2006
1,NA,1,0,33,4,6,1,1,7,-1,2,1,1,1,NA,2006
-1,NA,0,1,24,5,6,1,1,3,-1,5,0,1,1,NA,2006
-1,NA,0,0,45,8,6,1,2,3,-1,3,1,1,1,NA,2006
-1,NA,0,1,40,4,6,1,1,7,5,5,0,1,1,NA,2006
-1,NA,0,0,30,10,6,1,3,8,5,2,1,1,1,NA,2006
2,NA,1,0,26,5,6,1,2,9,5,3,1,6,0,NA,2006
3,NA,0,0,28,7,6,1,1,9,5,3,1,1,1,NA,2006
1,NA,1,0,28,6,6,1,1,9,5,1,1,1,1,NA,2006
3,NA,0,0,55,8,6,1,1,6,-1,3,1,1,1,NA,2006
1,NA,1,0,35,6,6,1,2,7,5,3,1,1,1,NA,2006
-1,NA,0,0,54,7,6,1,2,6,-1,3,1,1,1,NA,2006
3,NA,0,0,30,7,7,0,3,6,-1,3,1,6,0,NA,2006
1,NA,1,0,66,6,6,1,1,7,5,3,1,1,1,NA,2006
3,NA,0,1,27,7,6,1,2,3,-1,5,0,2,0,NA,2006
-1,NA,0,0,25,8,6,1,2,7,5,2,1,6,0,NA,2006
-1,NA,0,0,62,2,6,1,2,1,-1,3,1,1,1,NA,2006
2,NA,1,0,55,5,9,0,1,7,-1,3,1,1,1,NA,2006
-1,NA,0,0,45,6,6,1,1,7,-1,3,1,1,1,NA,2006
-1,NA,0,0,36,7,6,1,2,7,-1,3,1,1,1,NA,2006
1,NA,1,0,50,8,6,1,1,7,5,3,1,1,1,NA,2006
1,NA,1,1,43,5,6,1,1,7,10,5,0,1,1,NA,2006
-1,NA,0,0,32,8,-2,0,3,8,5,3,1,1,1,NA,2006
1,NA,1,1,50,5,6,1,1,9,-1,1,1,1,1,NA,2006
-1,NA,0,1,72,7,6,1,1,1,-1,5,0,1,1,NA,2006
-1,NA,0,1,70,5,6,1,1,1,-1,5,0,1,1,NA,2006
1,NA,1,0,50,10,6,1,1,7,5,3,1,1,1,NA,2006
-1,NA,0,0,40,6,9,0,1,7,-1,3,1,1,1,NA,2006
3,NA,0,0,36,9,-2,0,-1,9,5,3,1,1,1,NA,2006
3,NA,0,1,50,9,6,1,3,6,5,5,0,1,1,NA,2006
-1,NA,0,0,55,8,6,1,1,7,-1,3,1,1,1,NA,2006
3,NA,0,1,32,8,6,1,2,3,5,5,0,1,1,NA,2006
2,NA,1,0,30,9,6,1,3,9,5,1,1,1,1,NA,2006
-1,NA,0,1,75,8,6,1,1,3,-1,2,1,1,1,NA,2006
-1,NA,0,1,26,7,8,0,3,2,1,1,1,1,1,NA,2006
2,NA,1,0,40,7,6,1,2,1,1,-2,1,1,1,NA,2006
1,NA,1,1,30,4,5,0,1,3,-1,5,0,1,1,NA,2006
1,NA,1,0,35,9,6,1,2,7,1,3,1,1,1,NA,2006
1,NA,1,0,25,6,8,0,1,9,-1,1,1,1,1,NA,2006
-1,NA,0,0,29,2,6,1,2,1,-1,2,1,1,1,NA,2006
-1,NA,0,1,43,1,6,1,3,1,-1,5,0,1,1,NA,2006
3,NA,0,0,27,2,6,1,3,2,-1,8,0,1,1,NA,2006
-1,NA,0,0,45,3,6,1,2,3,-1,3,1,1,1,NA,2006
3,NA,0,0,33,1,6,1,3,1,-1,2,1,1,1,NA,2006
3,NA,0,1,33,1,6,1,3,1,-1,5,0,1,1,NA,2006
-1,NA,0,1,38,1,6,1,2,1,-1,2,1,1,1,NA,2006
-1,NA,0,0,27,3,6,1,2,2,-1,8,0,1,1,NA,2006
-1,NA,0,1,46,1,6,1,2,1,-1,3,1,1,1,NA,2006
3,NA,0,0,34,2,7,0,3,2,-1,1,1,1,1,NA,2006
3,NA,0,1,50,1,6,1,3,1,-1,3,1,5,0,NA,2006
3,NA,0,1,45,1,6,1,3,1,-1,3,1,1,1,NA,2006
3,NA,0,1,40,1,6,1,3,1,-1,2,1,1,1,NA,2006
3,NA,0,0,35,5,6,1,1,3,5,3,1,1,1,NA,2006
3,NA,0,1,22,4,6,1,1,7,5,5,0,1,1,NA,2006
-1,NA,0,0,30,1,6,1,2,1,-1,3,1,1,1,NA,2006
3,NA,0,1,20,4,5,0,1,6,5,5,0,1,1,NA,2006
3,NA,0,0,29,6,6,1,1,9,5,1,1,6,0,NA,2006
-1,NA,0,0,37,3,5,0,2,2,-1,8,0,1,1,NA,2006
3,NA,0,0,19,4,5,0,1,6,5,3,1,6,0,NA,2006
3,NA,0,0,18,6,6,1,1,8,5,-2,1,6,0,NA,2006
3,NA,0,1,20,3,5,0,1,3,5,5,0,1,1,NA,2006
3,NA,0,0,40,1,6,1,1,1,5,3,1,1,1,NA,2006
1,NA,1,0,43,4,5,0,2,2,-1,3,1,1,1,NA,2006
3,NA,0,0,50,5,5,0,1,1,5,3,1,1,1,NA,2006
-1,NA,0,1,58,5,4,0,1,1,-1,5,0,1,1,NA,2006
3,NA,0,0,46,3,6,1,1,2,-1,-2,1,1,1,NA,2006
2,NA,1,1,25,4,6,1,1,6,-1,5,0,1,1,NA,2006
2,NA,1,0,50,3,6,1,1,1,-1,-2,1,1,1,NA,2006
3,NA,0,0,35,1,6,1,1,1,-1,-2,1,1,1,NA,2006
2,NA,1,1,47,5,6,1,1,1,-1,5,0,1,1,NA,2006
-1,NA,0,1,38,5,6,1,1,1,-1,5,0,1,1,NA,2006
2,NA,1,1,41,5,6,1,1,1,-1,5,0,1,1,NA,2006
2,NA,1,1,18,4,5,0,1,3,-1,5,0,6,0,NA,2006
2,NA,1,0,33,3,5,0,1,3,-1,5,0,1,1,NA,2006
2,NA,1,0,20,5,5,0,1,7,-1,-2,1,6,0,NA,2006
2,NA,1,0,35,5,5,0,1,2,-1,-2,1,1,1,NA,2006
2,NA,1,0,18,3,5,0,1,2,-1,-2,1,6,0,NA,2006
2,NA,1,0,21,1,5,0,1,1,-1,-2,1,6,0,NA,2006
3,NA,0,0,33,2,6,1,2,2,-1,-2,1,1,1,NA,2006
-1,NA,0,0,43,1,6,1,3,1,-1,-2,1,1,1,NA,2006
-1,NA,0,1,45,1,6,1,2,1,-1,-2,1,1,1,NA,2006
3,NA,0,1,31,2,6,1,2,1,-1,-2,1,1,1,NA,2006
-1,NA,0,1,31,1,6,1,1,1,-1,-2,1,1,1,NA,2006
3,NA,0,1,30,1,6,1,3,1,-1,-2,1,1,1,NA,2006
-1,NA,0,0,35,2,6,1,2,2,-1,-2,1,1,1,NA,2006
-1,NA,0,0,32,3,6,1,2,2,-1,3,1,1,1,NA,2006
-1,NA,0,1,45,3,5,0,2,1,-1,5,0,1,1,NA,2006
-1,NA,0,0,55,4,6,1,2,1,-1,1,1,1,1,NA,2006
3,NA,0,0,46,6,6,1,3,7,-1,-2,1,1,1,NA,2006
-1,NA,0,1,35,1,6,1,3,1,-1,-2,1,1,1,NA,2006
-1,NA,0,0,35,2,6,1,2,1,-1,-2,1,1,1,NA,2006
1,NA,1,0,36,3,6,1,1,7,1,3,1,1,1,NA,2006
2,NA,1,1,40,2,6,1,1,3,5,3,1,1,1,NA,2006
2,NA,1,1,50,2,6,1,3,1,5,5,0,1,1,NA,2006
2,NA,1,0,50,4,6,1,1,3,7,1,1,2,0,NA,2006
3,NA,0,1,85,8,6,1,1,1,5,5,0,5,0,NA,2006
2,NA,1,1,65,4,5,0,1,1,5,5,0,5,0,NA,2006
-1,NA,0,1,70,4,6,1,1,1,10,5,0,5,0,NA,2006
1,NA,1,1,25,2,6,1,2,1,1,5,0,1,1,NA,2006
1,NA,1,1,50,3,6,1,1,1,1,5,0,1,1,NA,2006
1,NA,1,1,35,3,6,1,2,1,1,5,0,1,1,NA,2006
1,NA,1,1,50,2,6,1,1,1,1,5,0,1,1,NA,2006
2,NA,1,0,30,2,6,1,2,1,1,3,1,1,1,NA,2006
2,NA,1,0,29,5,6,1,2,8,1,1,1,1,1,NA,2006
2,NA,1,0,65,7,6,1,2,1,1,3,1,1,1,NA,2006
1,NA,1,1,55,4,6,1,1,1,1,5,0,1,1,NA,2006
1,NA,1,0,35,4,6,1,2,1,1,3,1,1,1,NA,2006
1,NA,1,0,70,5,6,1,2,1,3,-2,1,1,1,NA,2006
1,NA,1,1,40,3,6,1,3,1,3,5,0,1,1,NA,2006
1,NA,1,1,45,4,6,1,2,1,1,5,0,1,1,NA,2006
1,NA,1,0,40,3,6,1,1,1,1,3,1,1,1,NA,2006
1,NA,1,1,65,3,6,1,1,1,3,5,0,1,1,NA,2006
1,NA,1,1,30,3,6,1,1,7,1,5,0,1,1,NA,2006
1,NA,1,1,60,3,6,1,1,1,1,3,1,1,1,NA,2006
1,NA,1,0,45,2,6,1,1,7,1,3,1,1,1,NA,2006
1,NA,1,1,35,2,6,1,1,6,1,5,0,1,1,NA,2006
1,NA,1,1,41,3,6,1,1,1,1,5,0,2,0,NA,2006
-1,NA,0,1,55,3,6,1,1,1,10,5,0,1,1,NA,2006
4,NA,0,0,60,4,6,1,1,1,10,3,1,2,0,NA,2006
4,NA,0,1,35,8,6,1,1,1,10,2,1,1,1,NA,2006
-1,NA,0,1,68,3,6,1,1,1,10,1,1,1,1,NA,2006
-1,NA,0,1,42,4,6,1,1,-1,10,5,0,1,1,NA,2006
-1,NA,0,1,35,3,6,1,1,1,10,1,1,1,1,NA,2006
-1,NA,0,1,66,3,6,1,1,1,10,5,0,1,1,NA,2006
4,NA,0,1,52,4,6,1,1,1,10,5,0,1,1,NA,2006
4,NA,0,0,21,4,6,1,2,9,1,-2,1,6,0,NA,2006
-1,NA,0,0,20,3,6,1,1,6,10,7,0,6,0,NA,2006
3,NA,0,0,30,3,6,1,1,1,5,2,1,1,1,NA,2006
4,NA,0,0,40,5,6,1,1,8,7,1,1,1,1,NA,2006
2,NA,1,1,30,2,6,1,1,3,1,5,0,1,1,NA,2006
2,NA,1,0,22,3,6,1,2,3,5,7,0,6,0,NA,2006
4,NA,0,1,30,5,6,1,1,7,7,5,0,1,1,NA,2006
1,NA,1,1,28,4,-2,0,1,9,1,5,0,1,1,NA,2006
2,NA,1,0,70,3,6,1,1,2,5,7,0,1,1,NA,2006
-1,NA,0,0,80,3,6,1,1,1,10,8,0,1,1,NA,2006
2,NA,1,1,37,3,6,1,2,6,5,5,0,1,1,NA,2006
2,NA,1,0,35,2,6,1,2,3,3,3,1,1,1,NA,2006
2,NA,1,1,30,6,6,1,1,7,1,5,0,1,1,NA,2006
4,NA,0,1,20,4,6,1,1,6,5,5,0,2,0,NA,2006
3,NA,0,0,45,5,6,1,3,8,1,1,1,1,1,NA,2006
1,NA,1,1,70,2,6,1,2,1,1,5,0,5,0,NA,2006
2,NA,1,0,48,3,6,1,1,3,5,3,1,2,0,NA,2006
2,NA,1,1,20,3,6,1,1,3,1,3,1,6,0,NA,2006
2,NA,1,1,35,5,5,0,3,2,10,5,0,5,0,NA,2006
-2,NA,0,1,-2,-2,-5,0,3,-2,1,-2,1,1,1,NA,2006
2,NA,1,0,46,3,6,1,2,6,5,-2,1,2,0,NA,2006
2,NA,1,0,32,2,6,1,2,8,1,-2,1,6,0,NA,2006
2,NA,1,1,35,3,6,1,2,7,1,5,0,1,1,NA,2006
3,NA,0,1,28,5,6,1,2,9,-1,-2,1,1,1,NA,2006
3,NA,0,1,46,4,6,1,1,9,1,1,1,1,1,NA,2006
1,NA,1,1,53,4,6,1,1,3,1,5,0,1,1,NA,2006
3,NA,0,0,56,4,6,1,2,3,-1,-2,1,1,1,NA,2006
3,NA,0,1,47,3,6,1,2,6,1,5,0,1,1,NA,2006
2,NA,1,0,57,3,6,1,1,6,10,-2,1,1,1,NA,2006
1,NA,1,0,55,4,6,1,2,7,10,-2,1,1,1,NA,2006
1,NA,1,0,27,2,6,1,1,7,1,3,1,1,1,NA,2006
1,NA,1,0,74,4,6,1,3,7,1,3,1,1,1,NA,2006
2,NA,1,0,59,4,6,1,2,7,1,3,1,1,1,NA,2006
2,NA,1,0,35,2,6,1,1,7,1,3,1,1,1,NA,2006
1,NA,1,0,48,3,6,1,3,2,1,3,1,1,1,NA,2006
3,NA,0,0,35,5,5,0,3,9,10,1,1,1,1,NA,2006
2,NA,1,1,30,5,5,0,1,9,10,1,1,1,1,NA,2006
3,NA,0,1,46,5,8,0,2,6,10,3,1,1,1,NA,2006
1,NA,1,0,41,4,6,1,2,9,10,3,1,1,1,NA,2006
2,NA,1,1,27,4,6,1,2,7,10,2,1,1,1,NA,2006
1,NA,1,1,26,2,8,0,2,7,1,2,1,6,0,NA,2006
2,NA,1,1,40,2,6,1,2,3,1,3,1,1,1,NA,2006
1,NA,1,1,33,3,6,1,3,9,1,7,0,6,0,NA,2006
