"support_war","strong_leader","compliance","female","age","income","religion","hindu","practicing_religion","education","political_ideology","employment","employed","marital_status","married","job_loss"
1,1,0,1,31,4,5,0,1,4,9,7,0,6,0,4
1,1,1,1,42,10,6,1,1,7,9,1,1,6,0,1
1,1,1,0,30,4,9,0,4,4,10,3,0,6,0,4
1,0,0,0,31,5,6,1,2,4,4,1,1,6,0,1
1,1,0,0,28,3,6,1,1,5,9,2,0,6,0,1
0,0,0,0,33,4,6,1,3,4,6,3,0,1,1,1
1,0,0,1,28,4,5,0,1,5,7,3,0,1,1,4
0,0,0,0,19,2,6,1,3,1,5,4,0,6,0,1
0,1,0,0,24,2,6,1,1,0,10,1,1,6,0,1
0,0,0,0,49,4,6,1,3,4,7,4,0,1,1,1
0,0,0,0,28,4,6,1,1,4,7,2,0,1,1,1
0,1,0,0,38,5,5,0,1,4,10,5,0,1,1,1
1,1,0,0,20,2,6,1,1,1,6,6,0,6,0,1
1,1,1,1,30,5,6,1,3,3,7,3,0,1,1,2
1,1,0,1,25,2,6,1,1,5,10,1,1,6,0,1
1,1,0,1,29,6,9,0,1,5,9,8,0,1,1,1
1,1,1,0,32,5,6,1,1,4,10,3,0,1,1,1
1,1,1,1,31,6,7,0,2,6,6,3,0,6,0,3
0,1,0,0,23,2,5,0,1,3,10,2,0,6,0,1
0,0,0,0,49,4,1,0,3,4,7,1,1,1,1,2
0,1,0,1,23,2,6,1,1,1,6,6,0,6,0,3
1,1,0,0,41,3,6,1,2,4,8,1,1,2,0,2
1,1,1,0,47,2,6,1,1,3,6,3,0,1,1,4
0,1,0,1,48,4,6,1,1,5,10,1,1,1,1,1
1,1,0,0,23,3,6,1,3,4,7,2,0,6,0,2
0,1,0,0,36,5,7,0,1,4,10,3,0,1,1,1
0,0,0,0,43,3,6,1,3,4,3,4,0,1,1,4
0,1,0,0,40,3,6,1,4,2,1,1,1,1,1,1
1,1,1,0,21,3,1,0,2,3,7,1,1,6,0,2
1,1,0,0,18,4,6,1,1,3,10,6,0,6,0,1
0,0,0,1,36,2,6,1,1,4,5,1,1,1,1,2
0,0,0,1,48,4,6,1,1,5,10,3,0,1,1,1
0,1,0,0,19,3,1,0,2,4,5,1,1,6,0,2
1,0,1,1,38,2,5,0,2,1,5,1,1,6,0,2
0,0,0,0,47,9,6,1,1,8,10,8,0,1,1,1
1,1,0,0,20,4,5,0,1,2,5,2,0,1,1,2
1,1,0,0,31,6,9,0,1,3,10,3,0,1,1,2
0,1,0,0,23,10,6,1,1,7,10,7,0,1,1,1
0,0,0,1,55,10,6,1,3,4,5,8,0,3,0,3
1,1,0,0,42,4,6,1,2,3,6,1,1,1,1,1
1,1,0,0,25,6,6,1,2,5,6,2,0,6,0,1
1,0,0,0,19,4,5,0,1,4,6,2,0,6,0,4
0,1,0,1,25,10,6,1,1,7,7,1,1,6,0,2
0,1,0,1,51,4,6,1,3,5,5,1,1,1,1,1
0,0,0,1,22,2,6,1,3,5,5,6,0,6,0,1
0,0,0,1,44,10,1,0,1,8,5,7,0,1,1,2
1,1,1,0,40,4,6,1,1,4,8,3,0,1,1,2
1,1,1,1,30,3,6,1,1,5,10,4,0,1,1,2
1,1,1,0,30,4,6,1,1,2,10,2,0,1,1,1
0,0,0,1,24,3,6,1,1,4,10,1,1,6,0,3
1,1,1,0,56,6,6,1,2,5,7,5,0,1,1,1
0,1,0,0,55,5,7,0,1,4,8,2,0,1,1,4
0,0,0,0,55,2,6,1,2,1,1,3,0,1,1,1
1,1,0,1,36,3,6,1,1,5,6,1,1,1,1,1
0,1,0,0,25,3,6,1,1,4,10,2,0,6,0,3
0,1,0,0,39,3,6,1,1,4,6,2,0,1,1,1
1,1,1,1,22,2,5,0,1,0,6,3,0,6,0,2
0,0,0,1,61,9,6,1,1,7,6,7,0,1,1,3
0,1,0,0,60,7,6,1,1,4,8,2,0,1,1,2
0,0,0,0,55,3,5,0,3,4,5,1,1,1,1,1
0,1,0,0,62,9,6,1,2,7,10,8,0,1,1,2
1,1,0,1,56,2,6,1,1,3,10,1,1,1,1,1
1,1,0,0,62,3,6,1,1,4,9,1,1,1,1,1
1,1,1,0,56,4,5,0,1,4,1,1,1,1,1,1
